corpus_id	role	reading_tier	primary_review_class	secondary_review_classes	year	title	authors	venue	doi	pdf_basename	pdf_sha256	primary_asset_status	scope_status	target_contribution_type	target_method_or_driver	target_problem_or_model	method_semantic_id	problem_semantic_id	paper_protocol_id	execution_wave	package_status	claim_boundary
R09	R	KEY40	REV1	REV2,REV4	2020	Nonuniform Wind Farm Layout Optimization: A State-of-the-Art Review	Siyu Tao and Qingshan Xu and Andrés Feijóo and Gang Zheng and Jiemin Zhou	Energy	10.1016/j.energy.2020.118339	2020_Tao_Nonuniform_Wind_Farm_Layout_Optimization_A_State_of_the_Art_Review.pdf	20fd245c93998f94e7068f308c1e86681475316946a08d16682e44ec26f8aa42	local_primary_pdf_hashed	review_evidence_package	review_evidence_taxonomy_and_protocol	not_applicable	r09_review_evidence_v1	not_applicable	r09_review_evidence_v1	r09_review_protocol_v1	REV1	queued_evidence_dossier	review evidence and taxonomy package; no invented optimizer
R11	R	CORE-SUPPORT	REV1	REV2	2021	Review on Optimisation Methods of Wind Farm Array under Three Classical Wind Condition Problems	F. Azlan and J.C. Kurnia and B.T. Tan and M.-Z. Ismadi	Renewable and Sustainable Energy Reviews	10.1016/j.rser.2020.110047	2021_Azlan_Review_on_Optimisation_Methods_of_Wind_Farm_Array_under_Three_Classical_Wind_Condition_Problems.pdf	aec06efcf62ab767d09e4a2e19fde5a2a4ba87b2aa11b3866f920743c20743b2	local_primary_pdf_hashed	review_evidence_package	review_evidence_taxonomy_and_protocol	not_applicable	r11_review_evidence_v1	not_applicable	r11_review_evidence_v1	r11_review_protocol_v1	REV1	queued_evidence_dossier	review evidence and taxonomy package; no invented optimizer
T20	D	CORE-SUPPORT	REV1	REV3	2022	Comparative Performance of Twelve Metaheuristics for Wind Farm Layout Optimisation	Tawatchai Kunakote and Numchoak Sabangban and Sumit Kumar and Ghanshyam G. Tejani and Natee Panagant and Nantiwat Pholdee and Sujin Bureerat and Ali R. Yildiz	Archives of Computational Methods in Engineering	10.1007/s11831-021-09586-7	2022_Kunakote_Comparative_Performance_of_Twelve_Metaheuristics_for_Wind_Farm_Layout_Optimisation.pdf	7a07c4f8ac5dbc469591b7a970668455f6bc21bb912f976bae0dd41e1fc5524f	local_primary_pdf_hashed	new_direct_ready	problem_definition_or_comparison_protocol	comparison protocol without a target optimizer	four variable/fixed-count hub/partial-wake problems	t20_comparison_protocol_no_target_optimizer_v1	t20_kunakote_four_case_benchmark_declared_v1	t20_four_problem_25000fes_full_suite_v1	REV1	formal_complete	academic reproduction of the proposed four problems and comparison interface; twelve non-target baselines are outside the required package
R21	R	AUTHOR-CONTEXT	REV1	NONE	2020	A review of applications of artificial intelligent algorithms in wind farms	Yirui Wang and Yang Yu and Shuyang Cao and Xingyi Zhang and Shangce Gao	Artificial Intelligence Review	10.1007/s10462-019-09768-7	2020_Wang_A_review_of_applications_of_artificial_intelligent_algorithms_in_wind_farms.pdf	14ca5b7708c20048e3961f696ccf53396b261d25779981723a7f52ec4a9b03c3	local_primary_pdf_hashed	review_evidence_package	review_evidence_taxonomy_and_protocol	not_applicable	r21_review_evidence_v1	not_applicable	r21_review_evidence_v1	r21_review_protocol_v1	REV1	queued_evidence_dossier	review evidence and taxonomy package; no invented optimizer
R04	R	CORE-SUPPORT	REV1	NONE	2014	A Review of Methodological Approaches for the Design and Optimization of Wind Farms	José Herbert-Acero and Oliver Probst and Pierre-Elouan Réthoré and Gunner Larsen and Krystel Castillo-Villar	Energies	10.3390/en7116930	2014_Herbert_Acero_A_Review_of_Methodological_Approaches_for_the_Design_and_Optimization_of_Wind_Farms.pdf	f60f5193bcc6a1bddbeb3e4be843ff417b6cb2bb1fde7ab33a33f104feea8916	local_primary_pdf_hashed	review_evidence_package	review_evidence_taxonomy_and_protocol	not_applicable	r04_review_evidence_v1	not_applicable	r04_review_evidence_v1	r04_review_protocol_v1	REV1	queued_evidence_dossier	review evidence and taxonomy package; no invented optimizer
T48	D	CORE-SUPPORT	REV1	REV4	2007	An Analytical Framework for Offshore Wind Farm Layout Optimization	Matthew A. Lackner and Christopher N. Elkinton	Wind Engineering	10.1260/030952407780811401	2007_Lackner_An_Analytical_Framework_for_Offshore_Wind_Farm_Layout_Optimization.pdf	bc304c8cef8ec10326ce45d67320798a38a8e0564b405d028a3c3b4a8fa97d4d	local_primary_pdf_hashed	new_direct_ready	problem_definition_or_comparison_protocol	declared coordinate-gradient reconstruction	two-turbine offshore LCOE analytical framework	t48_lackner_gradient_coordinate_reconstruction_v1	t48_lackner_two_turbine_lcoe_declared_v1	t48_lackner_190iteration_deterministic_v1	REV1	formal_complete	academic reconstruction of the analytical framework and deterministic demonstration; no author-source or exact hidden-data replay
T62	D	KEY40	REV2	NONE	2016	Optimization of Wind Turbine Layout Position in a Wind Farm Using a Newly-Developed Two-Dimensional Wake Model	Xiaoxia Gao and Hongxing Yang and Lin Lu	Applied Energy	10.1016/j.apenergy.2016.04.098	2016_Gao_Optimization_of_Wind_Turbine_Layout_Position_in_a_Wind_Farm_Using_a_Newly_Developed_Two_Dimensional_Wake_Model.pdf	7e79a2a5db4f3d1360dfd55d04ee1d266c1e9b324aa9f214dddc7fac2902f1db	local_primary_pdf_hashed	new_direct_ready	wake_power_cost_or_physical_evaluator	Jensen-Gaussian wake plus MPGA	t62_gao_case_b_grid_jensen_gaussian_v1	t62_mpga_declared_reconstruction_v1	t62_gao_case_b_grid_jensen_gaussian_v1	t62_gao_case_b_native_25_v1	REV2	implemented_h5_pending	H0-H4 complete; conflicts and declared reconstruction recorded; H5-H6 pending
R07	R	KEY40	REV2	REV1,REV4	2018	Review and Evaluation of Wake Loss Models for Wind Energy Applications	Cristina L. Archer and Ahmadreza Vasel-Be-Hagh and Chi Yan and Sicheng Wu and Yang Pan and Joseph F. Brodie and A. Eoghan Maguire	Applied Energy	10.1016/j.apenergy.2018.05.085	2018_Archer_Review_and_Evaluation_of_Wake_Loss_Models_for_Wind_Energy_Applications.pdf	4b5b42371c3eeeccd4d07ab383b7595203f71186458ac538154a63e8b2913652	local_primary_pdf_hashed	review_evidence_package	review_evidence_taxonomy_and_protocol	not_applicable	r07_review_evidence_v1	not_applicable	r07_review_evidence_v1	r07_review_protocol_v1	REV2	queued_evidence_dossier	review evidence and taxonomy package; no invented optimizer
T17	D	KEY40	REV2	REV1,REV3,REV4,REV5	2020	A New Wake Model and Comparison of Eight Algorithms for Layout Optimization of Wind Farms in Complex Terrain	Roberto Brogna and Ju Feng and Jens Nørkær Sørensen and Wen Zhong Shen and Fernando Porté-Agel	Applied Energy	10.1016/j.apenergy.2019.114189	2020_Brogna_A_New_Wake_Model_and_Comparison_of_Eight_Algorithms_for_Layout_Optimization_of_Wind_Farms_in_Complex_Terrain.pdf	f09a0baaf12f9cd719f16ece29e4feb5bbf3c4bc27204bccaa8fb76504bc4c65	local_primary_pdf_hashed	new_direct_ready	wake_power_cost_or_physical_evaluator	complex-terrain Gaussian streamline wake plus double-stage RS	t17_brogna private-site equations with open PyWake flow proxy	t17_double_stage_rs_declared_reconstruction_v1	t17_brogna_private_site_open_flow_proxy_v1	t17_double_stage_cpu_time_11_starts_v1	REV2	implemented_h5_admitted_h6_pending	academic declared reproduction of equations, domain, constraints, double-stage lifecycle, and open-proxy behavior; not private-site replay
T63	D	KEY40	REV2	REV4	2016	Wind Farm Layout Optimization on Complex Terrains – Integrating a CFD Wake Model with Mixed-Integer Programming	Jim Y.J. Kuo and David A. Romero and J. Christopher Beck and Cristina H. Amon	Applied Energy	10.1016/j.apenergy.2016.06.085	2016_Kuo_Wind_Farm_Layout_Optimization_on_Complex_Terrains_Integrating_a_CFD_Wake_Model_with_Mixed_Integer_Programming.pdf	7c4f515af4da82bb235045871b132f05d66f2760a2de0f61faef38b82aed8155	local_primary_pdf_hashed	new_direct_ready	wake_power_cost_or_physical_evaluator	iterative CFD-row and exact MILP coupling via pinned HiGHS	Carleton 20x20 figure proxy with terrain-aware single-turbine surrogate	t63_iterative_cfd_mip_highs_reconstruction_v1	t63_carleton_figure_proxy_cfd_surrogate_v1	t63_relaxation_five_case_convergence_v1	REV2	implemented_h5_admitted_h6_pending	academic declared equation/problem/lifecycle reproduction on figure/surrogate proxy; not author CFD, Gurobi, or numerical replay
T16	D	KEY40	REV2	REV3	2019	Comparison of Wind Farm Layout Optimization Results Using a Simple Wake Model and Gradient-Based Optimization to Large Eddy Simulations	Jared J. Thomas and Jennifer Annoni and Paul A. Fleming and Andrew Ning	AIAA SciTech 2019 Forum	10.2514/6.2019-0538	2019_Thomas_Comparison_of_Wind_Farm_Layout_Optimization_Results_Using_a_Simple_Wake_Model_and_Gradient_Based_Optimization_to_Large_Eddy_Simulations.pdf	fa92fb9deeadf669d8d2ea3e7eb3b351bf1067b8012161c57c4caca23b04614e	local_primary_pdf_hashed	new_direct_ready	wake_power_cost_or_physical_evaluator	pending_full_text_contract	pending_full_text_contract	t16_method_pending_contract	t16_problem_pending_contract	t16_protocol_pending_contract	REV2	queued_full_text_contract	scope and primary PDF verified; scientific contract pending paper/source reconciliation
L0124	D	KEY40	REV2	NONE	2017	Wind farm layout optimization using a Gaussian-based wake model	Leandro Parada and Carlos Herrera and Paulo Flores and Vı́ctor Parada	Renewable Energy	10.1016/j.renene.2017.02.017	2017_Parada_Wind_farm_layout_optimization_using_a_Gaussian_based_wake_model.pdf	93f7f26addb86183c792f5178790116ad932574f7a055b95d2dbf7ede8a678e6	local_primary_pdf_hashed	new_direct_ready	wake_power_cost_or_physical_evaluator	MI-LXPM with target-paper elite survival completion	six Gaussian-wake Mosetti/Grady cases	l0124_mi_lxpm_target_survival_completed_v1	l0124_parada_gaussian_grid_v1	l0124_six_cases_five_repeats_500_generations	REV2	implemented_h5_admitted_h6_and_formal_queued	academic declared reproduction of the six paper problems, equations and predecessor-completed MI-LXPM; not author-source, author-random-state or exact-layout replay
T87	D	CORE-SUPPORT	REV2	REV4	2023	Wind Farm Layout Optimization in Complex Terrain Based on CFD and IGA-PSO	Weicheng Hu and Qingshan Yang and Ziting Yuan and Fucheng Yang	Energy	10.1016/j.energy.2023.129745	2023_Hu_Wind_Farm_Layout_Optimization_in_Complex_Terrain_Based_on_CFD_and_IGA_PSO.pdf	83182bf0fa4e7e604543e9a89a682be76ef3f4264fe1aa3c0b2de78a34a85ec6	local_primary_pdf_hashed	new_direct_ready	wake_power_cost_or_physical_evaluator	IGA-PSO with predecessor-completed missing operators	four Qianjiang figure-proxy wake/cost cases	t87_iga_pso_predecessor_completed_v1	t87_qianjiang_figure_proxy_v1	t87_four_cases_ten_declared_seeds_320400_proposals	REV2	implemented_h5_admitted_h6_and_formal_queued	academic declared reproduction of the four paper problems and predecessor-completed IGA-PSO on a versioned figure-derived proxy; not author CFD, measured data, source, random state, or exact numerical replay
L0371	D	CORE-SUPPORT	REV2	NONE	2021	Influence of atmospheric stability on wind farm layout optimization based on an improved Gaussian wake model	Naizhi Guo and Mingming Zhang and Bo Li and Yu Cheng	Journal of Wind Engineering and Industrial Aerodynamics	10.1016/j.jweia.2021.104548	2021_Guo_Influence_of_atmospheric_stability_on_wind_farm_layout_optimization_based_on_an_improved_Gaussian_wake_model.pdf	227ac3844dd69fda900fc882595e39dfe08eb4483d889a31642c6b032c277e66	local_primary_pdf_hashed	new_direct_ready	wake_power_cost_or_physical_evaluator	IET-GWM plus DEEM	ideal atmospheric-stability cases and Horns Rev	l0371_deem_predecessor_completed_v1	l0371_ideal_ietgwm_grid_v1|l0371_horns_ietgwm_grid_proxy_v1	l0371_29case_30repeat_150000fes_v1	REV2	implemented_h5_admitted_h6_and_formal_queued	academic declared reproduction of all 29 paper-native problem/stability combinations and predecessor-completed DEEM; not author code, private arrays, exact grid, random state or exact numerical replay
L0499	D	CORE-SUPPORT	REV2	REV4	2022	Wind farm layout optimization with uncertain wind condition	Wen Yi and Mengxuan Song and Jun Wang	Energy Conversion and Management	10.1016/j.enconman.2022.115347	2022_Yi_Wind_farm_layout_optimization_with_uncertain_wind_condition.pdf	268c05c8a936f1b13cfb48515f25df402c533a28f372bdf152addb523bafa184	local_primary_pdf_hashed	new_direct_ready	wake_power_cost_or_physical_evaluator	Dirichlet-Multinomial CVaR fixed-count binary GA	simulated and 41-station uncertain-wind grids	l0499_fixed_count_binary_ga_completed_v1	l0499_case_a_dm_cvar_grid_v1|l0499_case_b_ndawn41_proxy_dm_cvar_grid_v1	l0499_126case_20repeat_20032fes_v1	REV2	implemented_h5_admitted_h6_and_formal_queued	academic declared reproduction of the paper equations, all objective variants and all 42 problem records; not author code, NDAWN arrays, exact GA settings, random state or numerical replay
L0590	D	CORE-SUPPORT	REV2	REV4	2023	Wind farm layout and hub height optimization with a novel wake model	Haiying Sun and Hongxing Yang	Applied Energy	10.1016/j.apenergy.2023.121554	2023_Sun_Wind_farm_layout_and_hub_height_optimization_with_a_novel_wake_model.pdf	db8eb9eaf64ba9fe6e3fb9934e7e2536ae57f08294185edeca3d10beff4cebe5	local_primary_pdf_hashed	new_direct_ready	wake_power_cost_or_physical_evaluator	3-5-6-1 ANN wake plus real-coded GA	eight Shiren energy and cost layout-height cases	l0590_real_ga_completed_v1	l0590_shiren_3d_ann_layout_height_v1	l0590_8case_25repeat_paper_generations_v1	REV2	implemented_h5_admitted_h6_and_formal_queued	academic declared reproduction of every named paper case and the paper/cited equations; not author code, private Shiren data, author-trained weights, exact GA, exact cost curve or numerical replay
L0341	D	CORE-SUPPORT	REV2	REV4	2020	Wind farm layout optimization with a three-dimensional Gaussian wake model	Siyu Tao and Qingshan Xu and Andrés Feijóo and Gang Zheng and Jiemin Zhou	Renewable Energy	10.1016/j.renene.2020.06.003	2020_Tao_Wind_farm_layout_optimization_with_a_three_dimensional_Gaussian_wake_model.pdf	385658381f3af634dc47ceafef8d03ece5cd6c0084eb0289da4810941b72fbd8	local_primary_pdf_hashed	new_direct_ready	wake_power_cost_or_physical_evaluator	3-D Gaussian wake plus mixed-discrete PSO	ten uniform and nonuniform three-farm wind-scenario cases	l0341_mdpso_predecessor_completed_v1	l0341_three_farm_3d_gaussian_v1	l0341_10case_25repeat_paper_iterations_v1	REV2	implemented_h5_admitted_h6_and_formal_queued	academic declared reproduction of the target equations, MDPSO and ten unique paper optimization combinations; not author source, exact private figure arrays or curves, exact variable-cardinality encoding or numerical replay
L0623	D	CORE-SUPPORT	REV2	REV3	2024	An optimization framework for wind farm layout design using CFD-based Kriging model	Zhenfan Wang and Yu Tu and Kai Zhang and Zhaolong Han and Yong Cao and Dai Zhou	Ocean Engineering	10.1016/j.oceaneng.2023.116644	2024_Wang_An_optimization_framework_for_wind_farm_layout_design_using_CFD_based_Kriging_model.pdf	5f935a0fe7641d463c9af66baa0087c7bda95c3b3def39a7388f143800be47ea	local_primary_pdf_hashed	new_direct_ready	wake_power_cost_or_physical_evaluator	adaptive Kriging-GA with declared ADM/Gaussian truth proxy	three eight-turbine flat and Gaussian-hill source-figure cases	l0623_adaptive_kriging_ga_completed_v1	l0623_case1_flat_single_proxy_v1|l0623_case2_flat_windrose_proxy_v1|l0623_case3_gaussian_hill_windrose_proxy_v1	l0623_3case_25repeat_paper_truth_calls_v1	REV2	implemented_h5_admitted_h6_and_formal_queued	academic declared reproduction of the paper problem, adaptive Kriging-GA method and all three cases on a versioned ADM/Gaussian truth proxy; not OpenFOAM CFD, author code/data/meshes, exact operators, random state, AEP or numerical replay
Y36	D	AUTHOR-LINEAGE	REV2	REV5	2026	Transformer Autoencoder-Assisted Evolutionary Framework for Constrained Multiobjective 3D Wind Farm Layout Optimization	Yuhang Ma and Shangce Gao and Anqi Pan and Bo Shen	IEEE/CAA Journal of Automatica Sinica	10.1109/jas.2026.126233	2026_Ma_Transformer_Autoencoder_Assisted_Evolutionary_Framework_for_Constrained_Multiobjective_3D_Wind_Farm_Layout_Optimization.pdf	243dd96dfa94a3d596f375a6c62e58015c735171958778d816b6afdbf99cd35b	local_primary_pdf_hashed	retained_direct	retained_target_contribution	TAAE	taae_zhangbei_structured_declared_proxy_v1	taae_transformer_evolution_declared_reconstruction_v1	taae_zhangbei_structured_declared_proxy_v1	ma2026_native_25_v1	REV2	retained_plan005_package	P3 structured Zhangbei-family reconstruction; author arrays and checkpoint remain unavailable
L0608	D	AUTHOR-LINEAGE	REV2	NONE	2024	A Novel Adaptive LSHADE Algorithm for Wind Farm Layout Optimization with Complex Wake Effect	Jiatianyi Yu and Baohang Zhang and Qianhang Du and W. W. Wang and Zhenyu Lei and Shangce Gao	Official proceedings record	10.1109/pic62406.2024.10892732	2024_Yu_A_Novel_Adaptive_LSHADE_Algorithm_for_Wind_Farm_Layout_Optimization_with_Complex_Wake_Effect.pdf	c54147a5b5ceb4d1ff0bfc4fd2ec7d17d3bdf3b866a2ab01b5f02d8ddec85fd3	local_primary_pdf_hashed	retained_direct	retained_target_contribution	A-LSHADE	alshade_complex_wake_117	alshade_paper_derived_e0_physical_fes_v1	alshade_complex_wake_117_v1	pic2024_alshade_native_25_v1	REV2	retained_plan005_package	P1 paper-declared WC1-WC3 x N15/20/25 x L0-L12 contract is executable; comparator closure and H0-H6 admission remain required
T80	D	CORE-SUPPORT	REV3	REV1,REV2	2022	Wind Farm Layout Optimization Using Adaptive Evolutionary Algorithm with Monte Carlo Tree Search Reinforcement Learning	Fangyun Bai and Xinglong Ju and Shouyi Wang and Wenyong Zhou and Feng Liu	Energy Conversion and Management	10.1016/j.enconman.2021.115047	2022_Bai_Wind_Farm_Layout_Optimization_Using_Adaptive_Evolutionary_Algorithm_with_Monte_Carlo_Tree_Search_Reinforcement_Learning.pdf	89c73e7f261cbed357fa199f94e91d6c872b7c5227643296364b9608fa720f34	local_primary_pdf_hashed	new_direct_ready	optimization_search_or_learning_method	AGA with single-player MCTS relocation and declared missing-field completions	twelve Case-I grid/wind/spacing combinations and one New Jersey figure-derived proxy	t80_aga_spmcts_declared_completion_v1	t80_case1_grid60_12cases_v1|t80_case2_new_jersey_figure_proxy_v1	t80_13case_10repeat_pop100_outer200_mcts200_v1	REV3	h5_admitted_h6_and_formal_queued	academic paper/predecessor reconstruction; New Jersey is a figure-derived proxy, not author wind data, code or numerical replay
T74	D	CORE-SUPPORT	REV3	REV5	2019	Wind Farm Layout Optimization Using Self-Informed Genetic Algorithm with Information Guided Exploitation	Xinglong Ju and Feng Liu	Applied Energy	10.1016/j.apenergy.2019.04.084	2019_Ju_Wind_Farm_Layout_Optimization_Using_Self_Informed_Genetic_Algorithm_with_Information_Guided_Exploitation.pdf	62f93d5942ddbc2fd7e94eebf52544de9da3147b55729fd643034362f5004c6f	local_primary_pdf_hashed	new_direct_ready	optimization_search_or_learning_method	SIGA with paper-primary and source-normal-threshold variants	21x21 grid; 60 GE-1.5sle turbines; five wind cases x three cell widths	t74_siga_paper_probability_v1|t74_siga_source_normal_threshold_v1	t74_grid60_case1_case5_small_medium_large_v1	t74_15case_30repeat_10000mc_pop100_gen200_v1	REV3	implemented_h5_admitted_h6_and_formal_queued	academic paper/source reconstruction with regenerated initial, Monte-Carlo and MARS artifacts; not author numerical or random-bitstream replay
