pair_id	corpus_id	role	algorithm_id	method_semantic_id	problem_id	problem_semantic_id	paper_protocol_id	native_asset	implementation_status	analysis_id	analysis_path	analysis_sha256	validation_status	theory_status
T42__rlpso_paper_corrected_training_reconstruction_v1__rpso2024_source_problem_ws1_ws4__target	T42	target	rlpso_paper_corrected_training_reconstruction_v1	rlpso_paper_corrected_training_reconstruction_v1	rpso2024_source_problem_ws1_ws4	rpso2024_source_problem_ws1_ws4	energy2024_rlpso_native_25_v1	.source-cache/generated/rpso_source_problem/benchmark_cases.json	executable_baseline	hpc_analysis__T42__rlpso_paper_corrected_training_reconstruction_v1__rpso2024_source_problem_ws1_ws4__target__v1	hpc/paper_packages/T42/analysis/t42_rlpso_paper_corrected_training_reconstruction_v1_rpso2024_source_problem_ws1_ws4_target_hpc_analysis.json	78618df2d26ebddcf63fa00a324bca7e1c40339dde915cc70c51c37021ec4540	pending_h5_h6	draft_h0_h4_scaffold_unadmitted
T42__pso__rpso2024_source_problem_ws1_ws4__comparator	T42	comparator	pso	pso_canonical_integer_wflop_v1	rpso2024_source_problem_ws1_ws4	rpso2024_source_problem_ws1_ws4	energy2024_rlpso_native_25_v1	.source-cache/generated/rpso_source_problem/benchmark_cases.json	executable_baseline	hpc_analysis__T42__pso__rpso2024_source_problem_ws1_ws4__comparator__v1	hpc/paper_packages/T42/analysis/t42_pso_rpso2024_source_problem_ws1_ws4_comparator_hpc_analysis.json	a61d5d4fb6e160550d1281810d75a43981a8e0a3319c2418d1fc6d60d8213d78	pending_h5_h6	draft_h0_h4_scaffold_unadmitted
T42__gwo__rpso2024_source_problem_ws1_ws4__comparator	T42	comparator	gwo	gwo_paper_comparator_reconstruction_v1	rpso2024_source_problem_ws1_ws4	rpso2024_source_problem_ws1_ws4	energy2024_rlpso_native_25_v1	.source-cache/generated/rpso_source_problem/benchmark_cases.json	planned_missing_native_comparator	hpc_analysis__T42__gwo__rpso2024_source_problem_ws1_ws4__comparator__v1	hpc/paper_packages/T42/analysis/t42_gwo_rpso2024_source_problem_ws1_ws4_comparator_hpc_analysis.json	ce3d4b64faef7f2ecb7f00142feaeb130cfebd3e13995e8a385c9221a137e2a0	pending_h5_h6	draft_h0_h4_scaffold_unadmitted
T42__de__rpso2024_source_problem_ws1_ws4__comparator	T42	comparator	de	de_rand_1_bin_integer_wflop_v1	rpso2024_source_problem_ws1_ws4	rpso2024_source_problem_ws1_ws4	energy2024_rlpso_native_25_v1	.source-cache/generated/rpso_source_problem/benchmark_cases.json	executable_baseline	hpc_analysis__T42__de__rpso2024_source_problem_ws1_ws4__comparator__v1	hpc/paper_packages/T42/analysis/t42_de_rpso2024_source_problem_ws1_ws4_comparator_hpc_analysis.json	c88aec26fa5e23f5a7afd8356a3d966d91def4d5f1116dc3381f1850c3e1e8ee	pending_h5_h6	draft_h0_h4_scaffold_unadmitted
T42__cgpso__rpso2024_source_problem_ws1_ws4__comparator	T42	comparator	cgpso	cgpso_paper_staged_parallel_e0_physical_fes_v1	rpso2024_source_problem_ws1_ws4	rpso2024_source_problem_ws1_ws4	energy2024_rlpso_native_25_v1	.source-cache/generated/rpso_source_problem/benchmark_cases.json	executable_baseline	hpc_analysis__T42__cgpso__rpso2024_source_problem_ws1_ws4__comparator__v1	hpc/paper_packages/T42/analysis/t42_cgpso_rpso2024_source_problem_ws1_ws4_comparator_hpc_analysis.json	854e89f1448e62a28f150cf5966f73c0e4d976e5139c99e41c1a9812df0ff16b	pending_h5_h6	draft_h0_h4_scaffold_unadmitted
T42__agpso__rpso2024_source_problem_ws1_ws4__comparator	T42	comparator	agpso	agpso_paper_staged_parallel_e0_physical_fes_v1	rpso2024_source_problem_ws1_ws4	rpso2024_source_problem_ws1_ws4	energy2024_rlpso_native_25_v1	.source-cache/generated/rpso_source_problem/benchmark_cases.json	executable_baseline	hpc_analysis__T42__agpso__rpso2024_source_problem_ws1_ws4__comparator__v1	hpc/paper_packages/T42/analysis/t42_agpso_rpso2024_source_problem_ws1_ws4_comparator_hpc_analysis.json	1da12d38a35b38778e1f06f4d88b8c324445d47b80adb24e47a7694de51e89ad	pending_h5_h6	draft_h0_h4_scaffold_unadmitted
T37__agpso__agpso_aiga_hgpso_landuse_156_v1__target	T37	target	agpso	agpso_paper_staged_parallel_e0_physical_fes_v1	agpso_aiga_hgpso_landuse_156	agpso_aiga_hgpso_landuse_156_v1	enconman2022_agpso_native_25_v1	shared/contracts/agpso_aiga_hgpso_native_156_cases.json	executable_baseline	hpc_analysis__T37__agpso__agpso_aiga_hgpso_landuse_156_v1__target__v1	hpc/paper_packages/T37/analysis/t37_agpso_agpso_aiga_hgpso_landuse_156_v1_target_hpc_analysis.json	042cd65e0d491f7ef42ed1eadd319eab4f98d9803dbdd688653d71d096a802d8	pending_h5_h6	draft_h0_h4_scaffold_unadmitted
T37__aga__agpso_aiga_hgpso_landuse_156_v1__comparator	T37	comparator	aga	aga_paper_first_e0_physical_fes_v1	agpso_aiga_hgpso_landuse_156	agpso_aiga_hgpso_landuse_156_v1	enconman2022_agpso_native_25_v1	shared/contracts/agpso_aiga_hgpso_native_156_cases.json	executable_baseline	hpc_analysis__T37__aga__agpso_aiga_hgpso_landuse_156_v1__comparator__v1	hpc/paper_packages/T37/analysis/t37_aga_agpso_aiga_hgpso_landuse_156_v1_comparator_hpc_analysis.json	a9d158507e1fd1b963642bec0e83628bcdb5ec71052da76182875919eb8590d2	pending_h5_h6	draft_h0_h4_scaffold_unadmitted
T37__sugga__agpso_aiga_hgpso_landuse_156_v1__comparator	T37	comparator	sugga	sugga_frozen_surrogate_e0_physical_fes_v1	agpso_aiga_hgpso_landuse_156	agpso_aiga_hgpso_landuse_156_v1	enconman2022_agpso_native_25_v1	shared/contracts/agpso_aiga_hgpso_native_156_cases.json	executable_baseline	hpc_analysis__T37__sugga__agpso_aiga_hgpso_landuse_156_v1__comparator__v1	hpc/paper_packages/T37/analysis/t37_sugga_agpso_aiga_hgpso_landuse_156_v1_comparator_hpc_analysis.json	ec4d6e418cb286368d91b90fab0bc1ae904cea89323d0372e3eabdf263cca493	pending_h5_h6	draft_h0_h4_scaffold_unadmitted
T37__pso__agpso_aiga_hgpso_landuse_156_v1__comparator	T37	comparator	pso	pso_canonical_integer_wflop_v1	agpso_aiga_hgpso_landuse_156	agpso_aiga_hgpso_landuse_156_v1	enconman2022_agpso_native_25_v1	shared/contracts/agpso_aiga_hgpso_native_156_cases.json	executable_baseline	hpc_analysis__T37__pso__agpso_aiga_hgpso_landuse_156_v1__comparator__v1	hpc/paper_packages/T37/analysis/t37_pso_agpso_aiga_hgpso_landuse_156_v1_comparator_hpc_analysis.json	ebe1fa154ed90acb3722eac89a67bb1c12643d51aa87fe599625fd74a2576017	pending_h5_h6	draft_h0_h4_scaffold_unadmitted
T37__cgpso__agpso_aiga_hgpso_landuse_156_v1__comparator	T37	comparator	cgpso	cgpso_paper_staged_parallel_e0_physical_fes_v1	agpso_aiga_hgpso_landuse_156	agpso_aiga_hgpso_landuse_156_v1	enconman2022_agpso_native_25_v1	shared/contracts/agpso_aiga_hgpso_native_156_cases.json	executable_baseline	hpc_analysis__T37__cgpso__agpso_aiga_hgpso_landuse_156_v1__comparator__v1	hpc/paper_packages/T37/analysis/t37_cgpso_agpso_aiga_hgpso_landuse_156_v1_comparator_hpc_analysis.json	b3e8cfb0ba7d8c7f166773b946556f75474a06a96db59736249bbea44aada888	pending_h5_h6	draft_h0_h4_scaffold_unadmitted
T45__alga_attention_declared_reconstruction_v1__alga_guishan_3d_declared_proxy_v1__target	T45	target	alga_attention_declared_reconstruction_v1	alga_attention_declared_reconstruction_v1	alga_guishan_3d_declared_proxy_v1	alga_guishan_3d_declared_proxy_v1	swevo2025_alga_native_25_v1	shared/contracts/alga_guishan_3d_declared_proxy_cases.json	executable_baseline	hpc_analysis__T45__alga_attention_declared_reconstruction_v1__alga_guishan_3d_declared_proxy_v1__target__v1	hpc/paper_packages/T45/analysis/t45_alga_attention_declared_reconstruction_v1_alga_guishan_3d_declared_proxy_v1_target_hpc_analysis.json	b2200e8fc6701d18e5e03188a327f54dbbe199d6a6977579e9d5ad02e4a0a4d9	pending_h5_h6	draft_h0_h4_scaffold_unadmitted
T45__ga__alga_guishan_3d_declared_proxy_v1__comparator	T45	comparator	ga	ga_paper_comparator_reconstruction_v1	alga_guishan_3d_declared_proxy_v1	alga_guishan_3d_declared_proxy_v1	swevo2025_alga_native_25_v1	shared/contracts/alga_guishan_3d_declared_proxy_cases.json	planned_missing_native_comparator	hpc_analysis__T45__ga__alga_guishan_3d_declared_proxy_v1__comparator__v1	hpc/paper_packages/T45/analysis/t45_ga_alga_guishan_3d_declared_proxy_v1_comparator_hpc_analysis.json	3098b3069113882964a4e64fa547efea058140be45ddbdd17654f72e4c13556f	pending_h5_h6	draft_h0_h4_scaffold_unadmitted
T45__aga__alga_guishan_3d_declared_proxy_v1__comparator	T45	comparator	aga	aga_paper_first_e0_physical_fes_v1	alga_guishan_3d_declared_proxy_v1	alga_guishan_3d_declared_proxy_v1	swevo2025_alga_native_25_v1	shared/contracts/alga_guishan_3d_declared_proxy_cases.json	executable_baseline	hpc_analysis__T45__aga__alga_guishan_3d_declared_proxy_v1__comparator__v1	hpc/paper_packages/T45/analysis/t45_aga_alga_guishan_3d_declared_proxy_v1_comparator_hpc_analysis.json	a6f81d6673c98a19574c82ee534bb5277c008e4b61f3fc6ab9e5e03f31b8a15f	pending_h5_h6	draft_h0_h4_scaffold_unadmitted
T45__sugga__alga_guishan_3d_declared_proxy_v1__comparator	T45	comparator	sugga	sugga_frozen_surrogate_e0_physical_fes_v1	alga_guishan_3d_declared_proxy_v1	alga_guishan_3d_declared_proxy_v1	swevo2025_alga_native_25_v1	shared/contracts/alga_guishan_3d_declared_proxy_cases.json	executable_baseline	hpc_analysis__T45__sugga__alga_guishan_3d_declared_proxy_v1__comparator__v1	hpc/paper_packages/T45/analysis/t45_sugga_alga_guishan_3d_declared_proxy_v1_comparator_hpc_analysis.json	79175b7bd546ae4a2012a5290ab74f2045cb62298275887799ea5d892a47566b	pending_h5_h6	draft_h0_h4_scaffold_unadmitted
T45__ppga__alga_guishan_3d_declared_proxy_v1__comparator	T45	comparator	ppga	ppga_paper_comparator_reconstruction_v1	alga_guishan_3d_declared_proxy_v1	alga_guishan_3d_declared_proxy_v1	swevo2025_alga_native_25_v1	shared/contracts/alga_guishan_3d_declared_proxy_cases.json	executable_baseline	hpc_analysis__T45__ppga__alga_guishan_3d_declared_proxy_v1__comparator__v1	hpc/paper_packages/T45/analysis/t45_ppga_alga_guishan_3d_declared_proxy_v1_comparator_hpc_analysis.json	5ab7df9c04f1fb144eaa1a93b6de94086ab145819db8b0ad8e3400d7d1e2c30d	pending_h5_h6	draft_h0_h4_scaffold_unadmitted
T38__clshade__clshade_landuse_117_v1__target	T38	target	clshade	clshade_paper_derived_e0_physical_fes_v1	clshade_landuse_117	clshade_landuse_117_v1	asoc2023_clshade_native_25_v1	shared/contracts/clshade_native_117_cases.json	executable_baseline	hpc_analysis__T38__clshade__clshade_landuse_117_v1__target__v1	hpc/paper_packages/T38/analysis/t38_clshade_clshade_landuse_117_v1_target_hpc_analysis.json	d363657cce555d0c5785aa4e9c37b42de72fe98f17d734ef339f8e890fb67264	pending_h5_h6	draft_h0_h4_scaffold_unadmitted
T38__lshade__clshade_landuse_117_v1__comparator	T38	comparator	lshade	lshade_paper_first_e0_physical_fes_v1	clshade_landuse_117	clshade_landuse_117_v1	asoc2023_clshade_native_25_v1	shared/contracts/clshade_native_117_cases.json	executable_baseline	hpc_analysis__T38__lshade__clshade_landuse_117_v1__comparator__v1	hpc/paper_packages/T38/analysis/t38_lshade_clshade_landuse_117_v1_comparator_hpc_analysis.json	9fa70d2c313315c3693c203c7a1af86119fb66cdaf02cc404409ef557cab190b	pending_h5_h6	draft_h0_h4_scaffold_unadmitted
T38__lshadecnepsin__clshade_landuse_117_v1__comparator	T38	comparator	lshadecnepsin	lshadecnepsin_paper_guided_reconstruction_v1	clshade_landuse_117	clshade_landuse_117_v1	asoc2023_clshade_native_25_v1	shared/contracts/clshade_native_117_cases.json	executable_baseline	hpc_analysis__T38__lshadecnepsin__clshade_landuse_117_v1__comparator__v1	hpc/paper_packages/T38/analysis/t38_lshadecnepsin_clshade_landuse_117_v1_comparator_hpc_analysis.json	7a5f121a4d424ecaedb0041acc42c2eacfbe0d8d49b6ebb2cc2563570b34b55b	pending_h5_h6	draft_h0_h4_scaffold_unadmitted
T38__sugga__clshade_landuse_117_v1__comparator	T38	comparator	sugga	sugga_frozen_surrogate_e0_physical_fes_v1	clshade_landuse_117	clshade_landuse_117_v1	asoc2023_clshade_native_25_v1	shared/contracts/clshade_native_117_cases.json	executable_baseline	hpc_analysis__T38__sugga__clshade_landuse_117_v1__comparator__v1	hpc/paper_packages/T38/analysis/t38_sugga_clshade_landuse_117_v1_comparator_hpc_analysis.json	d3fec0d412ecca1f4ddeef831dc66b0955d474bfaddb4a5b16c7e2ed9cc70363	pending_h5_h6	draft_h0_h4_scaffold_unadmitted
T38__cjade__clshade_landuse_117_v1__comparator	T38	comparator	cjade	cjade_archived_source_reconstruction_v1	clshade_landuse_117	clshade_landuse_117_v1	asoc2023_clshade_native_25_v1	shared/contracts/clshade_native_117_cases.json	executable_baseline	hpc_analysis__T38__cjade__clshade_landuse_117_v1__comparator__v1	hpc/paper_packages/T38/analysis/t38_cjade_clshade_landuse_117_v1_comparator_hpc_analysis.json	09f6844822597c36652f392e65cf7695025d5dcf9a2caa196acf26f781b1211b	pending_h5_h6	draft_h0_h4_scaffold_unadmitted
T39__ise__ise_landuse_117_v1__target	T39	target	ise	ise_paper_derived_e0_physical_fes_v1	ise_landuse_117	ise_landuse_117_v1	engappai2023_ise_native_25_v1	shared/contracts/ise_native_117_cases.json	executable_baseline	hpc_analysis__T39__ise__ise_landuse_117_v1__target__v1	hpc/paper_packages/T39/analysis/t39_ise_ise_landuse_117_v1_target_hpc_analysis.json	abd8fff06a6755422073f5fe1f0955f706e74d0c4093347000715646928f5703	pending_h5_h6	draft_h0_h4_scaffold_unadmitted
T39__se__ise_landuse_117_v1__comparator	T39	comparator	se	se_spherical_paper_guided_reconstruction_v1	ise_landuse_117	ise_landuse_117_v1	engappai2023_ise_native_25_v1	shared/contracts/ise_native_117_cases.json	executable_baseline	hpc_analysis__T39__se__ise_landuse_117_v1__comparator__v1	hpc/paper_packages/T39/analysis/t39_se_ise_landuse_117_v1_comparator_hpc_analysis.json	c5034b18ab1f79263e0e954d179269d93cda44ad6c6043a7948d1fc5d1eaa81b	pending_h5_h6	draft_h0_h4_scaffold_unadmitted
T39__de__ise_landuse_117_v1__comparator	T39	comparator	de	de_rand_1_bin_integer_wflop_v1	ise_landuse_117	ise_landuse_117_v1	engappai2023_ise_native_25_v1	shared/contracts/ise_native_117_cases.json	executable_baseline	hpc_analysis__T39__de__ise_landuse_117_v1__comparator__v1	hpc/paper_packages/T39/analysis/t39_de_ise_landuse_117_v1_comparator_hpc_analysis.json	fceb6b4d1740161164e26dd27dee812aefa774b9fbe733b32c32a717f2d2716d	pending_h5_h6	draft_h0_h4_scaffold_unadmitted
T39__cjade__ise_landuse_117_v1__comparator	T39	comparator	cjade	cjade_archived_source_reconstruction_v1	ise_landuse_117	ise_landuse_117_v1	engappai2023_ise_native_25_v1	shared/contracts/ise_native_117_cases.json	executable_baseline	hpc_analysis__T39__cjade__ise_landuse_117_v1__comparator__v1	hpc/paper_packages/T39/analysis/t39_cjade_ise_landuse_117_v1_comparator_hpc_analysis.json	9e0ad5d2b61cb3930106ea8613bb6050f08f2df2b8ee1f285ed87a3c57f7701c	pending_h5_h6	draft_h0_h4_scaffold_unadmitted
T39__scjade__ise_landuse_117_v1__comparator	T39	comparator	scjade	scjade_paper_guided_reconstruction_v1	ise_landuse_117	ise_landuse_117_v1	engappai2023_ise_native_25_v1	shared/contracts/ise_native_117_cases.json	executable_baseline	hpc_analysis__T39__scjade__ise_landuse_117_v1__comparator__v1	hpc/paper_packages/T39/analysis/t39_scjade_ise_landuse_117_v1_comparator_hpc_analysis.json	e191cff7bc8e307f599d08002128dea78e4375775599cd7ff74c4b21abe6f0d6	pending_h5_h6	draft_h0_h4_scaffold_unadmitted
T39__sugga__ise_landuse_117_v1__comparator	T39	comparator	sugga	sugga_frozen_surrogate_e0_physical_fes_v1	ise_landuse_117	ise_landuse_117_v1	engappai2023_ise_native_25_v1	shared/contracts/ise_native_117_cases.json	executable_baseline	hpc_analysis__T39__sugga__ise_landuse_117_v1__comparator__v1	hpc/paper_packages/T39/analysis/t39_sugga_ise_landuse_117_v1_comparator_hpc_analysis.json	b96a3b85248eb2b4ab419da2c0b43d0ccfeeb09101f7c03290c5f3cbf2fc4bc4	pending_h5_h6	draft_h0_h4_scaffold_unadmitted
T39__lshade__ise_landuse_117_v1__comparator	T39	comparator	lshade	lshade_paper_first_e0_physical_fes_v1	ise_landuse_117	ise_landuse_117_v1	engappai2023_ise_native_25_v1	shared/contracts/ise_native_117_cases.json	executable_baseline	hpc_analysis__T39__lshade__ise_landuse_117_v1__comparator__v1	hpc/paper_packages/T39/analysis/t39_lshade_ise_landuse_117_v1_comparator_hpc_analysis.json	97bf8a3d0e874616346495e6d1db4122a0980da32313268676d0f7bdbc1c6d09	pending_h5_h6	draft_h0_h4_scaffold_unadmitted
T46__moead_p__zhang2025_three_objective__target	T46	target	moead_p	moead_p_repaired_v1	zhang2025_three_objective	zhang2025_three_objective	swevo2025_moeadp_native_25_v1	shared/contracts/pbea_execution_contract.json	executable_baseline	hpc_analysis__T46__moead_p__zhang2025_three_objective__target__v1	hpc/paper_packages/T46/analysis/t46_moead_p_zhang2025_three_objective_target_hpc_analysis.json	a025abec6c44801c456c1ee525de02b15ddf2514938b13bd23ef4722d533006b	pending_h5_h6	draft_h0_h4_scaffold_unadmitted
T46__moead__zhang2025_three_objective__comparator	T46	comparator	moead	moead_paper_comparator_reconstruction_v1	zhang2025_three_objective	zhang2025_three_objective	swevo2025_moeadp_native_25_v1	shared/contracts/pbea_execution_contract.json	executable_baseline	hpc_analysis__T46__moead__zhang2025_three_objective__comparator__v1	hpc/paper_packages/T46/analysis/t46_moead_zhang2025_three_objective_comparator_hpc_analysis.json	5dc12eec0e7e7e5150584d8bc2e350473add44eda799326eb290cd9c8b29af95	pending_h5_h6	draft_h0_h4_scaffold_unadmitted
T46__morime__zhang2025_three_objective__comparator	T46	comparator	morime	morime_paper_comparator_reconstruction_v1	zhang2025_three_objective	zhang2025_three_objective	swevo2025_moeadp_native_25_v1	shared/contracts/pbea_execution_contract.json	executable_baseline	hpc_analysis__T46__morime__zhang2025_three_objective__comparator__v1	hpc/paper_packages/T46/analysis/t46_morime_zhang2025_three_objective_comparator_hpc_analysis.json	80cbecea40f4a414d406cee4ebd8311d7ca7eb05cb8eaac940e7f5166512e219	pending_h5_h6	draft_h0_h4_scaffold_unadmitted
T46__armoea__zhang2025_three_objective__comparator	T46	comparator	armoea	armoea_paper_comparator_reconstruction_v1	zhang2025_three_objective	zhang2025_three_objective	swevo2025_moeadp_native_25_v1	shared/contracts/pbea_execution_contract.json	executable_baseline	hpc_analysis__T46__armoea__zhang2025_three_objective__comparator__v1	hpc/paper_packages/T46/analysis/t46_armoea_zhang2025_three_objective_comparator_hpc_analysis.json	34b7baccca36b056b1a24a2c433913e500093d14b578e868565d31ef09198824	pending_h5_h6	draft_h0_h4_scaffold_unadmitted
T46__nsgaii__zhang2025_three_objective__comparator	T46	comparator	nsgaii	nsgaii_paper_comparator_reconstruction_v1	zhang2025_three_objective	zhang2025_three_objective	swevo2025_moeadp_native_25_v1	shared/contracts/pbea_execution_contract.json	executable_baseline	hpc_analysis__T46__nsgaii__zhang2025_three_objective__comparator__v1	hpc/paper_packages/T46/analysis/t46_nsgaii_zhang2025_three_objective_comparator_hpc_analysis.json	0050983ac78eb31a5877dc92f7ba6157882472cd2b696ee3a68296dd88757d2b	pending_h5_h6	draft_h0_h4_scaffold_unadmitted
T46__gde3__zhang2025_three_objective__comparator	T46	comparator	gde3	gde3_paper_comparator_reconstruction_v1	zhang2025_three_objective	zhang2025_three_objective	swevo2025_moeadp_native_25_v1	shared/contracts/pbea_execution_contract.json	planned_missing_native_comparator	hpc_analysis__T46__gde3__zhang2025_three_objective__comparator__v1	hpc/paper_packages/T46/analysis/t46_gde3_zhang2025_three_objective_comparator_hpc_analysis.json	62ec01d8fe8a4099bffbef67c560f87683b4487d75c72680369edddc6320ca74	pending_h5_h6	draft_h0_h4_scaffold_unadmitted
T46__smpso__zhang2025_three_objective__comparator	T46	comparator	smpso	smpso_paper_comparator_reconstruction_v1	zhang2025_three_objective	zhang2025_three_objective	swevo2025_moeadp_native_25_v1	shared/contracts/pbea_execution_contract.json	planned_missing_native_comparator	hpc_analysis__T46__smpso__zhang2025_three_objective__comparator__v1	hpc/paper_packages/T46/analysis/t46_smpso_zhang2025_three_objective_comparator_hpc_analysis.json	e54b5b7d5274a6c6b053e364a24a86dba9149053f3878ee4d04def941b233e6b	pending_h5_h6	draft_h0_h4_scaffold_unadmitted
