corpus_id	doi	title	authors	lineage	full_text_status	source_status	current_platform_status	problem_family	next_gate
S05	10.2139/ssrn.6135326	WFADDE: Weighted Memory, Failure-Archive Sampling, and Adaptive Local Disturbance for Wind Farm Layout Optimization	Bingchao Shi; Chen Yang; Sichen Tao; Chennuo Jin; Yifei Yang	Tao	validated_complete	not_yet_audited	queued	fode_e0_common	R0_source_license
T41	10.1007/s42235-024-00498-3	An Adaptive Strategy-Incorporated Integer Genetic Algorithm for Wind Farm Layout Optimization	Tao Zheng; Haotian Li; Houtian He; Zhenyu Lei; Shangce Gao	Gao	validated_complete	no_public_source_link_registered	queued	discrete_grid	R1_problem
T47	10.1145/3766671.3766786	Revolutionizing Wind Energy: A Compact Evolutionary Algorithm for Layout Optimization	Tao Zheng; Zhiwei Yu; Kefan Ni; Baohang Zhang; Zhenyu Lei; Shangce Gao	Gao	validated_complete	no_public_source_link_registered	queued	compact_discrete	R1_problem
S01	10.3390/math12233762	Competitive Elimination Improved Differential Evolution for Wind Farm Layout Optimization Problems	Sichen Tao; Yifei Yang; Ruihan Zhao; Hiroyoshi Todo; Zheng Tang	Tao	validated_complete	local_source_hashed_no_license	current_cpp_smoke_pass	fode_e0_common	R4_50_case_24000_fes_admission
S02	10.3390/electronics13163196	A Multi-Local Search-Based SHADE for Wind Farm Layout Optimization	Yifei Yang; Sichen Tao; Haotian Li; Haichuan Yang; Zheng Tang	Tao	validated_complete	local_source_hashed_no_license	current_cpp_smoke_pass	fode_e0_common	R4_50_case_24000_fes_admission
Y34	10.1049/cit2.70150	Multi-Strategy Synergy-Based Differential Evolution for Large Wind Farm Layout Optimization	Haotian Li; Yifei Yang; Qiong Fu; Zhenyu Lei; Zhe Xu; Shangce Gao	Gao	validated_complete	not_yet_audited	queued	large_scale	R0_source_license
T44	10.1016/j.energy.2025.137885	Discrete Bi-Population Differential Evolution for Optimizing Complex Wind Farm Layouts in Diverse Terrains	Jiayi Li; Zihang Zhang; Tao Zheng; Jun Tang; Zhenyu Lei; Shangce Gao	Gao	validated_complete	official_source_hashed_no_license	current_cpp_smoke_pass	fode_e0_common	R4_50_case_24000_fes_admission
T43	10.1109/jas.2025.125351	Advanced 3D Wind Farm Layout Optimization Framework via Power-Law Perturbation-Based Genetic Algorithm	Jiaru Yang; Yaotong Song; Jun Tang; Weiping Ding; Zhenyu Lei; Shangce Gao	Gao	validated_complete	no_public_source_link_registered	queued	three_dimensional	R1_problem
Y06	10.1016/j.apenergy.2026.127895	A Geometry-Guided Genetic Algorithm for Integrated Offshore Wind Farm Layout and Electrical Cable Routing Optimization	Baohang Zhang; Yixin Shao; Zhenyu Lei; Chao Zhang; Yirui Wang; Shangce Gao	Gao	validated_complete	public_github_registered	queued	integrated_layout_cable	R0_license_hash
T36	10.1109/cpeee69412.2026.11521465	A Topology-Driven Multi-Objective Evolutionary Algorithm for Offshore Wind Farm Layout Optimization	Yixin Shao; Baohang Zhang; Wenzhu Gu; Zhenyu Lei; Shangce Gao	Gao	validated_complete	not_yet_audited	queued	offshore_multiobjective	R0_source_license
L0726	10.1109/cbd69312.2025.00059	A Geometric Mutation-Based Genetic Algorithm for Irregular Large-Scale Offshore Wind Farm Layout Optimization	Baohang Zhang; Yixin Shao; Tao Zheng; Runqun Xiong; Jiake Wang; Xiangmei Li; Shangce Gao	Gao	validated_complete	not_yet_audited	queued	irregular_offshore	R0_source_license
T40	10.1109/jas.2023.123387	A Chaotic Local Search-Based Particle Swarm Optimizer for Large-Scale Complex Wind Farm Layout Optimization	Zhenyu Lei; Shangce Gao; Zhiming Zhang; Haichuan Yang; Haotian Li	Gao	validated_complete	source_and_paper_audited	current_cpp_admitted	fode_e0_common	formal_receipt_sync
Y35	10.26599/tst.2026.9010059	A Level-Direction Guided Hierarchical Particle Swarm Optimization for Wind Farm Layout Optimization	Tao Zheng; Sichen Tao; Wenzhu Gu; Zhenyu Lei; Shangce Gao	Gao_and_Tao	validated_complete	local_source_hashed_no_license	current_cpp_smoke_pass	fode_e0_common	R4_50_case_24000_fes_admission
